,rank,last_week_rank,hmm,title,artist,label,peak_rank,weeks_on_chart,week_of
0,1,            11,        ,RIVER,ELLIE GOULDING,POLYDOR,1,5,December 27 2019
1,2,            8,        ,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA,2,99,December 27 2019
2,3,            5,        ,LAST CHRISTMAS,WHAM,RCA,2,64,December 27 2019
3,4,            14,        ,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS,2,99,December 27 2019
4,5,            2,        ,OWN IT,STORMZY/ED SHEERAN/BURNA BOY,ATLANTIC/MERKY,2,5,December 27 2019
5,6,            16,        ,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,RCA,1,71,December 27 2019
6,7,            17,        ,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY,1,80,December 27 2019
7,8,            19,        ,STEP INTO CHRISTMAS,ELTON JOHN,MERCURY,8,38,December 27 2019
8,9,            34,        ,HAPPY CHRISTMAS (WAR IS OVER),JOHN LEGEND,COLUMBIA,9,3,December 27 2019
9,10,            29,        ,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI,10,57,December 27 2019
10,11,            24,        ,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE,REPRISE,7,33,December 27 2019
11,12,            3,        ,BEFORE YOU GO,LEWIS CAPALDI,EMI,2,6,December 27 2019
12,13,            28,        ,SANTA TELL ME,ARIANA GRANDE,REPUBLIC RECORDS,13,18,December 27 2019
13,14,            4,        ,DON'T START NOW,DUA LIPA,WARNER RECORDS,2,8,December 27 2019
14,15,            25,        ,ONE MORE SLEEP,LEONA LEWIS,SYCO MUSIC,3,23,December 27 2019
15,16,            7,        ,ROXANNE,ARIZONA ZERVAS,SONY MUSIC,5,8,December 27 2019
16,17,            36,        ,SANTA'S COMING FOR US,SIA,ATLANTIC/MONKEY PUZZLE,17,12,December 27 2019
17,18,            32,        ,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA,6,47,December 27 2019
18,19,            31,        ,MERRY XMAS EVERYBODY,SLADE,UMTV,1,98,December 27 2019
19,20,            10,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,21,December 27 2019
20,21,            33,        ,UNDERNEATH THE TREE,KELLY CLARKSON,RCA,21,19,December 27 2019
21,22,            43,        ,COZY LITTLE CHRISTMAS,KATY PERRY,VIRGIN,22,7,December 27 2019
22,23,            13,        ,EVERYTHING I WANTED,BILLIE EILISH,INTERSCOPE,3,6,December 27 2019
23,24,            42,        ,DRIVING HOME FOR CHRISTMAS,CHRIS REA,WARNER BROS,11,56,December 27 2019
24,25,            46,        ,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS,SONY MUSIC,17,35,December 27 2019
25,26,            12,        ,ADORE YOU,HARRY STYLES,COLUMBIA,11,3,December 27 2019
26,27,            47,        ,MISTLETOE,JUSTIN BIEBER,DEF JAM,21,23,December 27 2019
27,28,            53,        ,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,APPLE CORPS,18,38,December 27 2019
28,29,            62,        ,CHRISTMAS LIGHTS,COLDPLAY,PARLOPHONE,13,29,December 27 2019
29,30,            61,        ,JINGLE BELL ROCK,BOBBY HELMS,MCA,30,10,December 27 2019
30,31,            66,        ,WHITE CHRISTMAS,BING CROSBY,DECCA,5,34,December 27 2019
31,32,            64,        ,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE,REPRISE,32,14,December 27 2019
32,33,            70,        ,CHRISTMAS (BABY PLEASE COME HOME),DARLENE LOVE,LEGACY RECORDINGS,22,8,December 27 2019
33,34,            69,        ,SLEIGH RIDE,RONETTES,SONY MUSIC,34,10,December 27 2019
34,35,            73,        ,STAY ANOTHER DAY,EAST 17,LONDON,1,49,December 27 2019
35,36,            23,        ,PUMP IT UP,ENDOR,DEFECTED,20,11,December 27 2019
36,37,            67,        ,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY,PARLOPHONE,6,32,December 27 2019
37,38,            6,        ,AUDACITY,STORMZY FT HEADIE ONE,ATLANTIC/MERKY,6,2,December 27 2019
38,39,            75,        ,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN,CAPITOL,39,19,December 27 2019
39,40,            Re,        ,VOSSI BOP,STORMZY,MERKY,1,32,December 27 2019
40,41,            20,        ,BLINDING LIGHTS,WEEKND,REPUBLIC RECORDS,12,4,December 27 2019
41,42,            82,        ,CHRISTMAS TIME (DON'T LET THE BELLS END),DARKNESS,MUST DESTROY,2,30,December 27 2019
42,43,            22,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,3,10,December 27 2019
43,44,            30,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,18,14,December 27 2019
44,45,            26,        ,FALLING,TREVOR DANIEL,ALAMO,26,5,December 27 2019
45,46,            89,        ,SANTA CLAUS IS COMING TO TOWN,MICHAEL JACKSON & JACKSON FIVE,MOTOWN,30,6,December 27 2019
46,47,            87,        ,MARY'S BOY CHILD/OH MY LORD,BONEY M,SONY MUSIC,26,19,December 27 2019
47,48,            Re,        ,LIGHTS UP,HARRY STYLES,COLUMBIA,3,10,December 27 2019
48,49,            50,        ,MY OH MY,CAMILA CABELLO FT DABABY,SYCO MUSIC,49,3,December 27 2019
49,50,            18,        ,WATERMELON SUGAR,HARRY STYLES,COLUMBIA,18,6,December 27 2019
50,51,            97,        ,THE CHRISTMAS SONG,NAT KING COLE,LAFACE,51,9,December 27 2019
51,52,            91,        ,SOMEWHERE ONLY WE KNOW,LILY ALLEN,PARLOPHONE,1,18,December 27 2019
52,53,            83,        ,LIKE IT'S CHRISTMAS,JONAS BROTHERS,REPUBLIC RECORDS,53,2,December 27 2019
53,54,            96,        ,FELIZ NAVIDAD,JOSE FELICIANO,PROPER,54,5,December 27 2019
54,55,            Re,        ,SANTA BABY,EARTHA KITT,RCA,55,10,December 27 2019
55,56,            Re,        ,STOP THE CAVALRY,JONA LEWIE,STIFF,3,23,December 27 2019
56,57,            1,        ,I LOVE SAUSAGE ROLLS,LADBABY,FRTYFVE,1,2,December 27 2019
57,58,            38,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,52,December 27 2019
58,59,            37,        ,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE,BLACK BUTTER,27,7,December 27 2019
59,60,            41,        ,MEMORIES,MAROON 5,INTERSCOPE,5,14,December 27 2019
60,61,            Re,        ,2000 MILES,PRETENDERS,RHINO,15,21,December 27 2019
61,62,            44,        ,INTO THE UNKNOWN,IDINA MENZEL & AURORA,WALT DISNEY,36,5,December 27 2019
62,63,            Re,        ,IT'S BEGINNING TO LOOK A LOT LIKE,PERRY COMO,RCA,47,11,December 27 2019
63,64,            27,        ,LUCID DREAMS,JUICE WRLD,INTERSCOPE,10,33,December 27 2019
64,65,            Re,        ,LET IT SNOW LET IT SNOW LET IT SNOW,FRANK SINATRA,SONY MUSIC,65,3,December 27 2019
65,66,            35,        ,HEARTLESS,WEEKND,REPUBLIC RECORDS/XO,10,5,December 27 2019
66,67,            Re,        ,HAVE YOURSELF A MERRY LITTLE CHRISTMAS,SAM SMITH,CAPITOL,65,6,December 27 2019
67,68,            Re,        ,BLUE CHRISTMAS,ELVIS PRESLEY,RCA,11,11,December 27 2019
68,69,            Re,        ,LONELY THIS CHRISTMAS,MUD,EMI,1,20,December 27 2019
69,70,            New,        ,MAN WITH THE BAG,JESSIE J,LAVA/REPUBLIC RECORDS,70,1,December 27 2019
70,71,            Re,        ,CHRISTMAS WRAPPING,WAITRESSES,POLYDOR,45,9,December 27 2019
71,72,            Re,        ,SANTA CLAUS IS COMIN' TO TOWN,BRUCE SPRINGSTEEN,SONY MUSIC,48,7,December 27 2019
72,73,            New,        ,ALL I WANT (FOR CHRISTMAS),LIAM PAYNE,CAPITOL,73,1,December 27 2019
73,74,            Re,        ,SANTA BABY,KYLIE MINOGUE,PARLOPHONE,38,17,December 27 2019
74,75,            40,        ,NETFLIX & CHILL,FREDO,SINCE 93,13,7,December 27 2019
75,76,            45,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,19,December 27 2019
76,77,            Re,        ,SANTA CLAUS IS COMING TO TOWN,MICHAEL BUBLE,REPRISE,77,6,December 27 2019
77,78,            15,        ,BRUISES,LEWIS CAPALDI,EMI,6,30,December 27 2019
78,79,            52,        ,BETTER HALF OF ME,TOM WALKER,RELENTLESS,38,9,December 27 2019
79,80,            Re,        ,THE POWER OF LOVE,GABRIELLE APLIN,PARLOPHONE,1,17,December 27 2019
80,81,            Re,        ,MISTLETOE AND WINE,CLIFF RICHARD,EMI,1,14,December 27 2019
81,82,            Re,        ,YOU MAKE IT FEEL LIKE CHRISTMAS,GWEN STEFANI FT BLAKE SHELTON,INTERSCOPE,71,5,December 27 2019
82,83,            Re,        ,RUN RUDOLPH RUN,CHUCK BERRY,UMC,83,2,December 27 2019
83,84,            54,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,11,11,December 27 2019
84,85,            49,        ,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X,BMG,10,7,December 27 2019
85,86,            New,        ,THANK GOD IT'S CHRISTMAS,QUEEN,EMI,86,1,December 27 2019
86,87,            76,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,39,December 27 2019
87,88,            55,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,4,13,December 27 2019
88,89,            51,        ,MUST BE,J HUS,BLACK BUTTER,5,7,December 27 2019
89,90,            56,        ,RANSOM,LIL TECCA,GALACTIC,7,27,December 27 2019
90,91,            58,        ,GANGSTA,DARKOO & ONE ACEN,DARKOO,33,7,December 27 2019
91,92,            Re,        ,ONE I'VE BEEN MISSING,LITTLE MIX,RCA,59,2,December 27 2019
92,93,            Re,        ,HAVE YOURSELF A MERRY LITTLE CHRISTMAS,FRANK SINATRA,CAPITOL,93,2,December 27 2019
93,94,            New,        ,A SPACEMAN CAME TRAVELLING,CHRIS DE BURGH,A&M,94,1,December 27 2019
94,95,            21,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,14,14,December 27 2019
95,96,            65,        ,NO IDEA,DON TOLIVER,ATLANTIC,65,3,December 27 2019
96,97,            68,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,3,17,December 27 2019
97,98,            Re,        ,CAROL OF THE BELLS,JOHN WILLIAMS,SONY CLASSICAL,97,2,December 27 2019
98,99,            Re,        ,CHRISTMAS TREE FARM,TAYLOR SWIFT,EMI,71,2,December 27 2019
99,100,            63,        ,WE GOT LOVE,SIGALA FT ELLA HENDERSON,MINISTRY OF SOUND,42,8,December 27 2019
100,1,            New,        ,I LOVE SAUSAGE ROLLS,LADBABY,FRTYFVE,1,1,December 20 2019
101,2,            2,        ,OWN IT,STORMZY/ED SHEERAN/BURNA BOY,ATLANTIC/MERKY,2,4,December 20 2019
102,3,            4,        ,BEFORE YOU GO,LEWIS CAPALDI,EMI,2,5,December 20 2019
103,4,            3,        ,DON'T START NOW,DUA LIPA,WARNER RECORDS,2,7,December 20 2019
104,5,            7,        ,LAST CHRISTMAS,WHAM,RCA,2,63,December 20 2019
105,6,            New,        ,AUDACITY,STORMZY FT HEADIE ONE,ATLANTIC/MERKY,6,1,December 20 2019
106,7,            5,        ,ROXANNE,ARIZONA ZERVAS,SONY MUSIC,5,7,December 20 2019
107,8,            6,        ,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA,2,98,December 20 2019
108,9,            New,        ,LESSONS,STORMZY,ATLANTIC/MERKY,9,1,December 20 2019
109,10,            1,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,20,December 20 2019
110,11,            8,        ,RIVER,ELLIE GOULDING,POLYDOR,8,4,December 20 2019
111,12,            11,        ,ADORE YOU,HARRY STYLES,COLUMBIA,11,2,December 20 2019
112,13,            9,        ,EVERYTHING I WANTED,BILLIE EILISH,INTERSCOPE,3,5,December 20 2019
113,14,            14,        ,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS,2,98,December 20 2019
114,15,            12,        ,BRUISES,LEWIS CAPALDI,EMI,6,29,December 20 2019
115,16,            16,        ,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,RCA,1,70,December 20 2019
116,17,            15,        ,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY,1,79,December 20 2019
117,18,            47,        ,WATERMELON SUGAR,HARRY STYLES,COLUMBIA,18,5,December 20 2019
118,19,            24,        ,STEP INTO CHRISTMAS,ELTON JOHN,MERCURY,10,37,December 20 2019
119,20,            17,        ,BLINDING LIGHTS,WEEKND,REPUBLIC RECORDS,12,3,December 20 2019
120,21,            19,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,14,13,December 20 2019
121,22,            21,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,3,9,December 20 2019
122,23,            23,        ,PUMP IT UP,ENDOR,DEFECTED,20,10,December 20 2019
123,24,            25,        ,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE,REPRISE,7,32,December 20 2019
124,25,            29,        ,ONE MORE SLEEP,LEONA LEWIS,SYCO MUSIC,3,22,December 20 2019
125,26,            35,        ,FALLING,TREVOR DANIEL,ALAMO,26,4,December 20 2019
126,27,            51,        ,LUCID DREAMS,JUICE WRLD,INTERSCOPE,10,32,December 20 2019
127,28,            31,        ,SANTA TELL ME,ARIANA GRANDE,REPUBLIC RECORDS,13,17,December 20 2019
128,29,            34,        ,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI,12,56,December 20 2019
129,30,            26,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,18,13,December 20 2019
130,31,            36,        ,MERRY XMAS EVERYBODY,SLADE,UMTV,1,97,December 20 2019
131,32,            32,        ,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA,6,46,December 20 2019
132,33,            39,        ,UNDERNEATH THE TREE,KELLY CLARKSON,RCA,30,18,December 20 2019
133,34,            41,        ,HAPPY CHRISTMAS (WAR IS OVER),JOHN LEGEND,COLUMBIA,34,2,December 20 2019
134,35,            22,        ,HEARTLESS,WEEKND,REPUBLIC RECORDS/XO,10,4,December 20 2019
135,36,            43,        ,SANTA'S COMING FOR US,SIA,ATLANTIC/MONKEY PUZZLE,24,11,December 20 2019
136,37,            30,        ,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE,BLACK BUTTER,27,6,December 20 2019
137,38,            27,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,51,December 20 2019
138,39,            New,        ,FALLING,HARRY STYLES,COLUMBIA,39,1,December 20 2019
139,40,            28,        ,NETFLIX & CHILL,FREDO,SINCE 93,13,6,December 20 2019
140,41,            10,        ,MEMORIES,MAROON 5,INTERSCOPE,5,13,December 20 2019
141,42,            46,        ,DRIVING HOME FOR CHRISTMAS,CHRIS REA,WARNER BROS,11,55,December 20 2019
142,43,            53,        ,COZY LITTLE CHRISTMAS,KATY PERRY,VIRGIN,23,6,December 20 2019
143,44,            38,        ,INTO THE UNKNOWN,IDINA MENZEL & AURORA,WALT DISNEY,36,4,December 20 2019
144,45,            42,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,18,December 20 2019
145,46,            50,        ,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS,SONY MUSIC,17,34,December 20 2019
146,47,            52,        ,MISTLETOE,JUSTIN BIEBER,DEF JAM,21,22,December 20 2019
147,48,            New,        ,RUNNING THE WORLD,JARVIS COCKER,ROUGH TRADE,48,1,December 20 2019
148,49,            37,        ,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X,BMG,10,6,December 20 2019
149,50,            69,        ,MY OH MY,CAMILA CABELLO FT DABABY,SYCO MUSIC,50,2,December 20 2019
150,51,            44,        ,MUST BE,J HUS,BLACK BUTTER,5,6,December 20 2019
151,52,            45,        ,BETTER HALF OF ME,TOM WALKER,RELENTLESS,38,8,December 20 2019
152,53,            56,        ,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,APPLE CORPS,18,37,December 20 2019
153,54,            18,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,11,10,December 20 2019
154,55,            13,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,4,12,December 20 2019
155,56,            98,        ,RANSOM,LIL TECCA,GALACTIC,7,26,December 20 2019
156,57,            New,        ,FUTSAL SHUFFLE 2020,LIL UZI VERT,ATLANTIC,57,1,December 20 2019
157,58,            54,        ,GANGSTA,DARKOO & ONE ACEN,DARKOO,33,6,December 20 2019
158,59,            49,        ,NEW DIOR,DIGDAT FT D-BLOCK EUROPE,COLUMBIA,16,4,December 20 2019
159,60,            48,        ,BANDIT,JUICE WRLD/YOUNGBOY NEVER,INTERSCOPE,42,10,December 20 2019
160,61,            61,        ,JINGLE BELL ROCK,BOBBY HELMS,MCA,41,9,December 20 2019
161,62,            62,        ,CHRISTMAS LIGHTS,COLDPLAY,PARLOPHONE,13,28,December 20 2019
162,63,            55,        ,WE GOT LOVE,SIGALA FT ELLA HENDERSON,MINISTRY OF SOUND,42,7,December 20 2019
163,64,            64,        ,HOLLY JOLLY CHRISTMAS,MICHAEL BUBLE,REPRISE,34,13,December 20 2019
164,65,            76,        ,NO IDEA,DON TOLIVER,ATLANTIC,65,2,December 20 2019
165,66,            67,        ,WHITE CHRISTMAS,BING CROSBY,DECCA,5,33,December 20 2019
166,67,            72,        ,WONDERFUL CHRISTMASTIME,PAUL MCCARTNEY,PARLOPHONE,6,31,December 20 2019
167,68,            59,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,3,16,December 20 2019
168,69,            70,        ,SLEIGH RIDE,RONETTES,SONY MUSIC,58,9,December 20 2019
169,70,            73,        ,CHRISTMAS (BABY PLEASE COME HOME),DARLENE LOVE,LEGACY RECORDINGS,22,7,December 20 2019
170,71,            20,        ,GOOD AS HELL,LIZZO,ATLANTIC,7,21,December 20 2019
171,72,            57,        ,CAN'T FIGHT THIS FEELING,BASTILLE,VIRGIN,39,5,December 20 2019
172,73,            81,        ,STAY ANOTHER DAY,EAST 17,LONDON,1,48,December 20 2019
173,74,            58,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,21,December 20 2019
174,75,            84,        ,LET IT SNOW LET IT SNOW LET IT SNOW,DEAN MARTIN,CAPITOL,54,18,December 20 2019
175,76,            63,        ,BAD GUY,BILLIE EILISH,INTERSCOPE,2,38,December 20 2019
176,77,            New,        ,THE GIFT,SIDEMEN,SIDEMEN,77,1,December 20 2019
177,78,            60,        ,MILLION BUCKS,JAY1,GRM RECORDS/PARLOPHONE,60,2,December 20 2019
178,79,            65,        ,SENORITA,SHAWN MENDES/CAMILA CABELLO,EMI/SYCO MUSIC,1,26,December 20 2019
179,80,            68,        ,FRENCH KISSES,ZIEZIE FT AITCH,RCA/SINCE 93,35,4,December 20 2019
180,81,            75,        ,I DON'T CARE,ED SHEERAN & JUSTIN BIEBER,ASYLUM/DEF JAM,1,21,December 20 2019
181,82,            100,        ,CHRISTMAS TIME (DON'T LET THE BELLS END),DARKNESS,MUST DESTROY,2,29,December 20 2019
182,83,            New,        ,LIKE IT'S CHRISTMAS,JONAS BROTHERS,REPUBLIC RECORDS,83,1,December 20 2019
183,84,            77,        ,LADBROKE GROVE,AJ TRACEY,AJ TRACEY,3,42,December 20 2019
184,85,            66,        ,DECEMBER,BUGZY MALONE,ISLAND,66,2,December 20 2019
185,86,            80,        ,OLD TOWN ROAD,LIL NAS X,LIL NAS X,1,39,December 20 2019
186,87,            Re,        ,MARY'S BOY CHILD/OH MY LORD,BONEY M,SONY MUSIC,26,18,December 20 2019
187,88,            88,        ,HIGHER LOVE,KYGO & WHITNEY HOUSTON,COLUMBIA/KYGO,2,25,December 20 2019
188,89,            Re,        ,SANTA CLAUS IS COMING TO TOWN,MICHAEL JACKSON & JACKSON FIVE,MOTOWN,30,5,December 20 2019
189,90,            74,        ,LOYAL,PARTYNEXTDOOR FT DRAKE,PARLOPHONE,31,4,December 20 2019
190,91,            99,        ,SOMEWHERE ONLY WE KNOW,LILY ALLEN,PARLOPHONE,1,17,December 20 2019
191,92,            86,        ,TURN ME ON,RITON & OLIVER HELDENS FT VULA,MINISTRY OF SOUND,12,14,December 20 2019
192,93,            85,        ,SHOW YOURSELF,IDINA MENZEL/EVAN RACHEL WOOD,WALT DISNEY,66,4,December 20 2019
193,94,            New,        ,DARLING,D-BLOCK EUROPE,D-BLOCK EUROPE,94,1,December 20 2019
194,95,            83,        ,ORPHANS,COLDPLAY,PARLOPHONE,27,8,December 20 2019
195,96,            Re,        ,FELIZ NAVIDAD,JOSE FELICIANO,PROPER,77,4,December 20 2019
196,97,            Re,        ,THE CHRISTMAS SONG,NAT KING COLE,LAFACE,51,8,December 20 2019
197,98,            New,        ,LEGENDS,JUICE WRLD,INTERSCOPE,98,1,December 20 2019
198,99,            New,        ,THE BOX,RODDY RICCH,ATLANTIC,99,1,December 20 2019
199,100,            97,        ,UP ALL NIGHT,KHALID,RIGHT HAND MUSIC,55,5,December 20 2019
200,1,            1,        ,DANCE MONKEY,TONES & I,PARLOPHONE,1,19,December 13 2019
201,2,            3,        ,OWN IT,STORMZY/ED SHEERAN/BURNA BOY,ATLANTIC/MERKY,2,3,December 13 2019
202,3,            4,        ,DON'T START NOW,DUA LIPA,WARNER RECORDS,2,6,December 13 2019
203,4,            2,        ,BEFORE YOU GO,LEWIS CAPALDI,EMI,2,4,December 13 2019
204,5,            5,        ,ROXANNE,ARIZONA ZERVAS,SONY MUSIC,5,6,December 13 2019
205,6,            8,        ,ALL I WANT FOR CHRISTMAS IS YOU,MARIAH CAREY,COLUMBIA,2,97,December 13 2019
206,7,            13,        ,LAST CHRISTMAS,WHAM,RCA,2,62,December 13 2019
207,8,            14,        ,RIVER,ELLIE GOULDING,POLYDOR,8,3,December 13 2019
208,9,            6,        ,EVERYTHING I WANTED,BILLIE EILISH,INTERSCOPE,3,4,December 13 2019
209,10,            7,        ,MEMORIES,MAROON 5,INTERSCOPE,5,12,December 13 2019
210,11,            New,        ,ADORE YOU,HARRY STYLES,COLUMBIA,11,1,December 13 2019
211,12,            11,        ,BRUISES,LEWIS CAPALDI,EMI,6,28,December 13 2019
212,13,            9,        ,SOUTH OF THE BORDER,ED SHEERAN/CABELLO/CARDI B,ASYLUM,4,11,December 13 2019
213,14,            22,        ,FAIRYTALE OF NEW YORK,POGUES FT KIRSTY MACCOLL,WARNER BROS,2,97,December 13 2019
214,15,            23,        ,DO THEY KNOW IT'S CHRISTMAS,BAND AID,MERCURY,1,78,December 13 2019
215,16,            26,        ,MERRY CHRISTMAS EVERYONE,SHAKIN' STEVENS,RCA,1,69,December 13 2019
216,17,            12,        ,BLINDING LIGHTS,WEEKND,REPUBLIC RECORDS,12,2,December 13 2019
217,18,            16,        ,LOSE CONTROL,MEDUZA/BECKY HILL/GOODBOYS,POLYDOR,11,9,December 13 2019
218,19,            18,        ,HOT GIRL BUMMER,BLACKBEAR,INTERSCOPE,14,12,December 13 2019
219,20,            19,        ,GOOD AS HELL,LIZZO,ATLANTIC,7,20,December 13 2019
220,21,            15,        ,LOSE YOU TO LOVE ME,SELENA GOMEZ,INTERSCOPE,3,8,December 13 2019
221,22,            10,        ,HEARTLESS,WEEKND,REPUBLIC RECORDS/XO,10,3,December 13 2019
222,23,            20,        ,PUMP IT UP,ENDOR,DEFECTED,20,9,December 13 2019
223,24,            39,        ,STEP INTO CHRISTMAS,ELTON JOHN,MERCURY,10,36,December 13 2019
224,25,            32,        ,IT'S BEGINNING TO LOOK A LOT LIKE,MICHAEL BUBLE,REPRISE,7,31,December 13 2019
225,26,            21,        ,THIS IS REAL,JAX JONES FT ELLA HENDERSON,POLYDOR,18,12,December 13 2019
226,27,            34,        ,SOMEONE YOU LOVED,LEWIS CAPALDI,EMI,1,50,December 13 2019
227,28,            24,        ,NETFLIX & CHILL,FREDO,SINCE 93,13,5,December 13 2019
228,29,            43,        ,ONE MORE SLEEP,LEONA LEWIS,SYCO MUSIC,3,21,December 13 2019
229,30,            37,        ,DON'T RUSH,YOUNG T & BUGSEY FT HEADIE ONE,BLACK BUTTER,27,5,December 13 2019
230,31,            33,        ,SANTA TELL ME,ARIANA GRANDE,REPUBLIC RECORDS,13,16,December 13 2019
231,32,            42,        ,ROCKIN' AROUND THE CHRISTMAS TREE,BRENDA LEE,MCA,6,45,December 13 2019
232,33,            29,        ,LIGHTS UP,HARRY STYLES,COLUMBIA,3,9,December 13 2019
233,34,            44,        ,I WISH IT COULD BE CHRISTMAS EVERYDAY,WIZZARD,EMI,12,55,December 13 2019
234,35,            40,        ,FALLING,TREVOR DANIEL,ALAMO,35,3,December 13 2019
235,36,            47,        ,MERRY XMAS EVERYBODY,SLADE,UMTV,1,96,December 13 2019
236,37,            17,        ,DOWN LIKE THAT,KSI/RICK ROSS/LIL BABY/S-X,BMG,10,5,December 13 2019
237,38,            36,        ,INTO THE UNKNOWN,IDINA MENZEL & AURORA,WALT DISNEY,36,3,December 13 2019
238,39,            49,        ,UNDERNEATH THE TREE,KELLY CLARKSON,RCA,30,17,December 13 2019
239,40,            27,        ,PROFESSOR X,DAVE,WARNER RECORDS,12,13,December 13 2019
240,41,            New,        ,HAPPY CHRISTMAS (WAR IS OVER),JOHN LEGEND,COLUMBIA,41,1,December 13 2019
241,42,            31,        ,RIDE IT,REGARD,MINISTRY OF SOUND,2,17,December 13 2019
242,43,            56,        ,SANTA'S COMING FOR US,SIA,ATLANTIC/MONKEY PUZZLE,24,10,December 13 2019
243,44,            28,        ,MUST BE,J HUS,BLACK BUTTER,5,5,December 13 2019
244,45,            45,        ,BETTER HALF OF ME,TOM WALKER,RELENTLESS,38,7,December 13 2019
245,46,            59,        ,DRIVING HOME FOR CHRISTMAS,CHRIS REA,WARNER BROS,11,54,December 13 2019
246,47,            55,        ,WATERMELON SUGAR,HARRY STYLES,COLUMBIA,28,4,December 13 2019
247,48,            Re,        ,BANDIT,JUICE WRLD/YOUNGBOY NEVER,INTERSCOPE,42,9,December 13 2019
248,49,            35,        ,NEW DIOR,DIGDAT FT D-BLOCK EUROPE,COLUMBIA,16,3,December 13 2019
249,50,            61,        ,IT'S THE MOST WONDERFUL TIME OF THE YEAR,ANDY WILLIAMS,SONY MUSIC,17,33,December 13 2019
250,51,            Re,        ,LUCID DREAMS,JUICE WRLD,INTERSCOPE,10,31,December 13 2019
251,52,            58,        ,MISTLETOE,JUSTIN BIEBER,DEF JAM,21,21,December 13 2019
252,53,            78,        ,COZY LITTLE CHRISTMAS,KATY PERRY,VIRGIN,23,5,December 13 2019
253,54,            48,        ,GANGSTA,DARKOO & ONE ACEN,DARKOO,33,5,December 13 2019
254,55,            50,        ,WE GOT LOVE,SIGALA FT ELLA HENDERSON,MINISTRY OF SOUND,42,6,December 13 2019
255,56,            68,        ,HAPPY XMAS (WAR IS OVER),JOHN & YOKO/PLASTIC ONO BAND,APPLE CORPS,18,36,December 13 2019
256,57,            65,        ,CAN'T FIGHT THIS FEELING,BASTILLE,VIRGIN,39,4,December 13 2019
257,58,            60,        ,TAKE ME BACK TO LONDON,ED SHEERAN FT STORMZY,ASYLUM,1,20,December 13 2019
258,59,            57,        ,CIRCLES,POST MALONE,REPUBLIC RECORDS,3,15,December 13 2019
